DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
11/10/2019,24.00,DRC,23.60,24.20,23.60,602750.00
10/10/2019,23.60,DRC,23.30,23.60,23.15,215890.00
09/10/2019,23.50,DRC,23.45,23.50,23.10,202240.00
08/10/2019,23.45,DRC,23.60,23.80,23.30,195040.00
07/10/2019,23.30,DRC,24.00,24.25,23.30,408360.00
04/10/2019,23.75,DRC,23.50,23.90,23.45,628360.00
03/10/2019,23.15,DRC,22.90,23.80,22.90,348340.00
02/10/2019,23.10,DRC,22.70,23.15,22.60,260090.00
01/10/2019,22.70,DRC,23.40,23.45,22.45,1065910.00
30/09/2019,23.40,DRC,23.55,23.80,23.40,406890.00
27/09/2019,23.70,DRC,23.95,24.00,23.50,208360.00
26/09/2019,23.95,DRC,23.85,24.10,23.85,519250.00
25/09/2019,24.10,DRC,23.90,24.10,23.80,244840.00
24/09/2019,24.05,DRC,23.70,24.30,23.65,380400.00
23/09/2019,23.80,DRC,24.10,24.15,23.70,313340.00
20/09/2019,24.10,DRC,23.70,24.10,23.45,443310.00
19/09/2019,23.70,DRC,23.50,24.20,23.50,419470.00
18/09/2019,23.70,DRC,23.90,23.90,23.40,346800.00
17/09/2019,23.70,DRC,23.80,24.10,23.40,664940.00
16/09/2019,23.80,DRC,22.95,23.80,22.70,849390.00
13/09/2019,22.90,DRC,22.90,23.15,22.60,674140.00
12/09/2019,22.80,DRC,22.20,22.90,22.15,588920.00
11/09/2019,21.95,DRC,21.40,22.40,21.30,516960.00
10/09/2019,21.30,DRC,21.50,21.60,21.00,333360.00
09/09/2019,21.60,DRC,21.80,21.95,21.60,128150.00
06/09/2019,21.75,DRC,21.60,21.95,21.60,118980.00
05/09/2019,21.60,DRC,21.40,21.85,21.40,212240.00
04/09/2019,21.40,DRC,21.80,22.00,21.40,375740.00
03/09/2019,22.05,DRC,22.15,22.55,22.05,218460.00
30/08/2019,22.40,DRC,22.15,22.45,22.00,262290.00
29/08/2019,22.00,DRC,22.20,22.20,21.70,114580.00
28/08/2019,22.15,DRC,21.60,22.20,21.25,399700.00
27/08/2019,21.70,DRC,22.10,22.45,21.70,421530.00
26/08/2019,22.20,DRC,22.20,22.55,21.90,378580.00
23/08/2019,22.40,DRC,23.15,23.30,22.30,729840.00
22/08/2019,23.00,DRC,22.40,23.05,22.20,755040.00
21/08/2019,22.30,DRC,22.00,22.60,21.90,594540.00
20/08/2019,22.00,DRC,21.80,22.50,21.80,752970.00
19/08/2019,21.50,DRC,21.60,22.15,21.50,321340.00
16/08/2019,21.60,DRC,22.00,22.30,21.35,691210.00
15/08/2019,21.60,DRC,20.90,22.20,20.50,964060.00
14/08/2019,20.95,DRC,20.60,21.40,20.40,1033750.00
13/08/2019,20.60,DRC,20.30,20.60,20.20,239730.00
12/08/2019,20.60,DRC,20.60,20.60,20.35,290380.00
09/08/2019,20.45,DRC,19.50,20.60,19.50,679450.00
08/08/2019,19.50,DRC,19.30,19.60,19.20,145160.00
07/08/2019,19.40,DRC,19.20,19.65,19.20,306150.00
06/08/2019,19.20,DRC,19.40,19.40,19.10,143170.00
05/08/2019,19.55,DRC,19.50,19.70,19.40,76720.00
02/08/2019,19.50,DRC,19.50,19.80,19.25,78410.00
01/08/2019,19.30,DRC,19.85,19.85,19.30,62820.00
31/07/2019,19.85,DRC,19.65,19.85,19.50,101750.00
30/07/2019,19.70,DRC,19.20,19.90,19.10,231400.00
29/07/2019,19.00,DRC,19.30,19.35,19.00,118140.00
26/07/2019,19.35,DRC,19.50,19.60,19.30,57730.00
25/07/2019,19.35,DRC,19.75,19.75,19.35,172450.00
24/07/2019,19.75,DRC,19.70,19.85,19.60,163210.00
23/07/2019,19.85,DRC,20.00,20.00,19.80,81870.00
22/07/2019,20.00,DRC,19.90,20.15,19.80,152890.00
19/07/2019,19.85,DRC,19.60,20.20,19.60,373030.00
18/07/2019,19.60,DRC,19.75,20.00,19.60,408230.00
17/07/2019,19.60,DRC,19.00,19.65,19.00,517880.00
16/07/2019,18.95,DRC,19.10,19.20,18.90,112340.00
15/07/2019,19.10,DRC,19.05,19.35,19.05,115730.00
12/07/2019,19.25,DRC,19.40,19.60,19.25,165180.00
11/07/2019,19.40,DRC,19.10,19.40,18.95,201280.00
10/07/2019,19.10,DRC,19.20,19.30,19.05,120280.00
09/07/2019,19.10,DRC,18.80,19.30,18.60,276350.00
08/07/2019,18.60,DRC,18.90,18.90,18.60,41880.00
05/07/2019,18.90,DRC,19.00,19.00,18.80,139570.00
04/07/2019,18.95,DRC,18.50,19.20,18.45,346160.00
03/07/2019,18.50,DRC,18.50,18.65,18.45,70740.00
02/07/2019,18.60,DRC,18.70,18.70,18.35,193800.00
01/07/2019,18.55,DRC,18.40,18.70,18.35,168990.00
28/06/2019,18.40,DRC,18.20,18.40,18.20,64990.00
27/06/2019,18.30,DRC,18.60,18.70,18.30,182720.00
26/06/2019,18.65,DRC,18.40,18.70,18.30,168780.00
25/06/2019,18.30,DRC,18.20,18.30,18.05,142890.00
24/06/2019,18.10,DRC,18.50,18.50,18.00,274550.00
21/06/2019,18.50,DRC,18.50,18.80,18.40,128440.00
20/06/2019,18.55,DRC,18.10,18.80,17.95,345920.00
19/06/2019,18.20,DRC,18.25,18.45,18.15,478690.00
18/06/2019,18.25,DRC,18.90,18.90,18.20,333940.00
17/06/2019,18.85,DRC,19.35,19.35,18.80,269730.00
14/06/2019,19.25,DRC,19.25,19.40,19.10,152230.00
13/06/2019,19.25,DRC,19.30,19.50,19.20,180780.00
12/06/2019,19.25,DRC,19.70,19.70,19.20,121870.00
11/06/2019,19.65,DRC,19.70,19.70,19.45,125140.00
10/06/2019,19.70,DRC,19.60,19.80,19.45,186290.00
07/06/2019,19.45,DRC,19.70,19.75,19.35,235160.00
06/06/2019,19.60,DRC,19.20,19.80,19.00,301190.00
05/06/2019,19.20,DRC,19.20,19.45,19.20,168350.00
04/06/2019,18.90,DRC,19.20,19.50,18.80,413090.00
03/06/2019,19.40,DRC,20.00,20.00,19.40,680540.00
31/05/2019,20.20,DRC,20.90,20.90,20.20,340010.00
30/05/2019,20.90,DRC,20.90,21.15,20.85,284580.00
29/05/2019,21.50,DRC,21.70,21.80,21.35,417820.00
28/05/2019,21.85,DRC,22.80,22.80,21.40,1214350.00
27/05/2019,22.40,DRC,23.20,23.45,22.30,604520.00
24/05/2019,23.20,DRC,23.80,23.90,23.15,292560.00
23/05/2019,23.80,DRC,22.65,23.85,22.65,914090.00
22/05/2019,22.65,DRC,22.40,22.85,22.40,561350.00
21/05/2019,22.50,DRC,22.80,22.80,22.45,252660.00
20/05/2019,22.80,DRC,22.80,22.90,22.50,253210.00
17/05/2019,22.80,DRC,23.00,23.35,22.80,204470.00
16/05/2019,23.05,DRC,22.95,23.30,22.40,761450.00
15/05/2019,22.40,DRC,23.00,23.15,22.40,669810.00
14/05/2019,22.40,DRC,22.30,22.40,22.00,366810.00
13/05/2019,22.30,DRC,22.00,22.50,22.00,298550.00
10/05/2019,22.00,DRC,21.70,22.10,21.60,422530.00
09/05/2019,21.60,DRC,20.95,21.70,20.90,359660.00
08/05/2019,20.95,DRC,21.00,21.00,20.60,212360.00
07/05/2019,21.20,DRC,20.95,21.30,20.95,152400.00
06/05/2019,20.90,DRC,21.00,21.15,20.80,140660.00
03/05/2019,21.20,DRC,21.40,21.40,21.15,127520.00
02/05/2019,21.30,DRC,21.30,21.40,21.10,318030.00
26/04/2019,21.30,DRC,21.30,21.40,21.00,161100.00
25/04/2019,21.25,DRC,21.15,21.55,21.15,200990.00
24/04/2019,21.15,DRC,21.20,21.35,21.00,278340.00
23/04/2019,21.15,DRC,21.30,21.30,20.85,413690.00
22/04/2019,20.80,DRC,20.90,20.95,20.65,357510.00
19/04/2019,20.70,DRC,20.40,20.80,20.40,153740.00
18/04/2019,20.40,DRC,21.00,21.00,20.40,472470.00
17/04/2019,21.00,DRC,21.35,21.45,21.00,216300.00
16/04/2019,21.35,DRC,20.90,21.45,20.80,277160.00
12/04/2019,21.00,DRC,21.40,21.65,21.00,414580.00
11/04/2019,21.40,DRC,21.20,21.60,21.20,174820.00
10/04/2019,21.20,DRC,21.40,21.50,21.10,419570.00
09/04/2019,21.40,DRC,21.75,21.95,21.40,333320.00
08/04/2019,21.75,DRC,21.45,21.80,21.45,259310.00
05/04/2019,21.45,DRC,22.05,22.05,21.40,1176280.00
04/04/2019,22.05,DRC,22.05,22.25,22.00,295720.00
03/04/2019,22.05,DRC,22.25,22.25,21.90,378150.00
02/04/2019,22.25,DRC,22.40,22.60,22.10,322690.00
01/04/2019,22.25,DRC,22.50,22.60,22.25,191520.00
29/03/2019,22.35,DRC,22.20,22.65,22.20,201010.00
28/03/2019,22.20,DRC,22.15,22.25,22.00,173310.00
27/03/2019,22.20,DRC,22.10,22.55,22.05,212200.00
26/03/2019,22.10,DRC,22.50,22.50,22.00,247200.00
25/03/2019,22.10,DRC,22.70,22.80,22.10,643960.00
22/03/2019,23.00,DRC,23.20,23.50,22.85,400090.00
21/03/2019,23.20,DRC,24.50,24.50,23.20,679850.00
20/03/2019,24.20,DRC,23.50,24.30,23.40,519350.00
19/03/2019,23.70,DRC,24.80,24.80,23.70,476020.00
18/03/2019,24.75,DRC,24.60,24.95,24.15,714320.00
15/03/2019,24.40,DRC,24.25,24.70,23.85,675540.00
14/03/2019,23.95,DRC,24.00,24.65,23.75,605260.00
13/03/2019,23.95,DRC,24.45,24.70,23.90,841980.00
12/03/2019,24.05,DRC,22.70,24.05,22.70,1807340.00
11/03/2019,22.50,DRC,22.55,22.60,22.25,239190.00
08/03/2019,22.35,DRC,22.40,22.60,22.20,637980.00
07/03/2019,22.70,DRC,23.20,23.30,22.70,343560.00
06/03/2019,23.20,DRC,23.15,23.65,22.70,669740.00
05/03/2019,23.15,DRC,22.80,23.60,22.80,993280.00
04/03/2019,22.80,DRC,22.30,22.90,22.30,437090.00
01/03/2019,22.30,DRC,22.20,22.50,22.00,132110.00
28/02/2019,22.20,DRC,22.60,22.65,22.00,467760.00
27/02/2019,22.50,DRC,22.20,22.70,22.10,346200.00
26/02/2019,22.20,DRC,22.30,22.30,21.95,212810.00
25/02/2019,22.30,DRC,22.05,22.30,21.80,308700.00
22/02/2019,22.05,DRC,21.55,22.25,21.50,413510.00
21/02/2019,21.60,DRC,21.20,21.65,21.00,148710.00
20/02/2019,21.20,DRC,21.50,21.50,21.00,493460.00
19/02/2019,21.25,DRC,21.45,21.55,21.25,420710.00
18/02/2019,21.60,DRC,21.55,21.75,21.30,462200.00
15/02/2019,21.60,DRC,22.00,22.20,21.55,407290.00
14/02/2019,21.70,DRC,22.00,22.20,21.60,483650.00
13/02/2019,22.05,DRC,22.30,22.40,21.90,296830.00
12/02/2019,22.20,DRC,21.70,22.40,21.70,305080.00
11/02/2019,21.65,DRC,21.65,21.90,21.60,127800.00
01/02/2019,21.65,DRC,21.80,21.80,21.30,68760.00
31/01/2019,21.75,DRC,21.70,21.75,21.35,94310.00
30/01/2019,21.55,DRC,21.85,21.85,21.50,46150.00
29/01/2019,21.80,DRC,21.80,21.80,21.50,46570.00
28/01/2019,21.80,DRC,21.75,21.95,21.75,82290.00
25/01/2019,21.50,DRC,21.30,21.60,21.30,58070.00
24/01/2019,21.40,DRC,21.65,21.90,21.30,232950.00
23/01/2019,21.70,DRC,22.00,22.30,21.65,138410.00
22/01/2019,22.00,DRC,22.40,22.40,22.00,149150.00
21/01/2019,22.40,DRC,22.60,22.60,22.35,63540.00
18/01/2019,22.60,DRC,22.20,22.70,22.20,186360.00
17/01/2019,22.30,DRC,22.70,22.70,22.30,194170.00
16/01/2019,22.60,DRC,22.90,22.95,22.50,181970.00
15/01/2019,22.85,DRC,22.50,22.90,22.50,337060.00
14/01/2019,22.55,DRC,22.20,22.90,22.00,168870.00
11/01/2019,22.20,DRC,22.40,22.40,22.00,103680.00
10/01/2019,22.30,DRC,21.60,22.30,21.40,295930.00
09/01/2019,21.60,DRC,21.60,21.75,21.40,60090.00
08/01/2019,21.60,DRC,21.20,21.75,21.15,186440.00
07/01/2019,21.15,DRC,21.05,21.40,21.05,143270.00
04/01/2019,21.05,DRC,21.00,21.30,20.80,174400.00
03/01/2019,21.40,DRC,21.30,21.80,21.00,118140.00
02/01/2019,21.60,DRC,21.50,21.95,21.40,166710.00
28/12/2018,21.50,DRC,21.45,21.60,21.10,141260.00
27/12/2018,21.10,DRC,21.30,21.30,20.80,162540.00
26/12/2018,20.50,DRC,20.50,20.90,20.45,180030.00
25/12/2018,20.50,DRC,21.00,21.00,20.20,438600.00
24/12/2018,21.05,DRC,21.30,21.80,21.00,145990.00
21/12/2018,21.50,DRC,21.50,21.60,21.15,75260.00
20/12/2018,21.75,DRC,21.30,21.75,21.30,49000.00
19/12/2018,21.35,DRC,21.00,21.50,21.00,114200.00
18/12/2018,21.45,DRC,21.60,22.00,21.40,431410.00
17/12/2018,22.45,DRC,22.55,22.70,22.45,131920.00
14/12/2018,22.80,DRC,23.20,23.20,22.80,168450.00
13/12/2018,22.95,DRC,22.85,23.15,22.85,255280.00
12/12/2018,23.00,DRC,22.90,23.00,22.75,164830.00
11/12/2018,22.80,DRC,23.20,23.20,22.70,189530.00
10/12/2018,23.20,DRC,23.20,23.45,22.90,112080.00
07/12/2018,23.20,DRC,22.30,23.20,22.30,366330.00
06/12/2018,22.50,DRC,22.60,22.70,22.05,452350.00
05/12/2018,23.00,DRC,22.10,23.25,22.10,412430.00
04/12/2018,22.40,DRC,21.75,22.60,21.75,208780.00
03/12/2018,21.75,DRC,21.95,22.15,21.60,382200.00
30/11/2018,21.60,DRC,21.55,21.70,21.25,186890.00
29/11/2018,21.70,DRC,22.00,22.00,21.50,95520.00
28/11/2018,21.80,DRC,21.70,22.00,21.50,89570.00
27/11/2018,21.80,DRC,22.35,22.35,21.80,57330.00
26/11/2018,22.15,DRC,21.90,22.40,21.50,84420.00
23/11/2018,22.00,DRC,22.45,22.45,21.95,112200.00
22/11/2018,22.45,DRC,22.80,22.80,22.10,94880.00
21/11/2018,22.55,DRC,22.00,22.65,21.60,168510.00
20/11/2018,22.15,DRC,21.70,22.30,21.50,228390.00
19/11/2018,21.60,DRC,21.20,21.80,21.10,82080.00
16/11/2018,21.20,DRC,21.40,21.40,21.05,63500.00
15/11/2018,21.00,DRC,21.60,21.60,21.00,50160.00
14/11/2018,21.10,DRC,21.75,21.75,21.05,168990.00
13/11/2018,21.75,DRC,21.05,21.80,21.05,106340.00
12/11/2018,21.40,DRC,21.85,22.20,21.20,154990.00
09/11/2018,21.90,DRC,22.30,22.30,21.80,107170.00
08/11/2018,21.90,DRC,22.95,23.40,21.90,207870.00
07/11/2018,22.95,DRC,23.00,23.40,22.60,225100.00
06/11/2018,22.85,DRC,21.50,22.85,21.40,447490.00
05/11/2018,21.40,DRC,21.55,21.55,21.10,98080.00
02/11/2018,21.55,DRC,21.00,21.55,21.00,113190.00
01/11/2018,21.00,DRC,21.50,21.50,20.80,73150.00
31/10/2018,21.10,DRC,21.00,21.30,20.80,226350.00
30/10/2018,20.80,DRC,20.80,21.30,20.80,86210.00
29/10/2018,20.80,DRC,20.60,21.20,20.60,113090.00
26/10/2018,20.80,DRC,21.60,21.85,20.60,334070.00
25/10/2018,21.80,DRC,21.00,21.80,20.80,311940.00
24/10/2018,21.60,DRC,21.65,22.00,21.60,127430.00
23/10/2018,21.80,DRC,22.00,22.35,21.50,400470.00
22/10/2018,22.80,DRC,24.50,24.65,22.80,636790.00
19/10/2018,24.50,DRC,24.75,24.75,24.20,114840.00
18/10/2018,24.55,DRC,25.20,25.20,24.55,128880.00
17/10/2018,25.05,DRC,25.00,25.30,25.00,125500.00
16/10/2018,25.00,DRC,24.80,25.00,24.70,48260.00
15/10/2018,24.80,DRC,25.45,25.45,24.75,132290.00
12/10/2018,24.75,DRC,24.35,25.05,24.30,590190.00
11/10/2018,24.60,DRC,25.00,25.30,24.30,601080.00
10/10/2018,25.60,DRC,25.80,25.80,25.40,233870.00
09/10/2018,25.80,DRC,26.05,26.25,25.70,272170.00
08/10/2018,26.05,DRC,26.15,26.40,25.90,256920.00
05/10/2018,26.35,DRC,26.60,26.70,26.15,402070.00
04/10/2018,26.80,DRC,27.20,27.20,26.75,190980.00
03/10/2018,27.20,DRC,26.80,27.80,26.80,347570.00
02/10/2018,26.80,DRC,26.50,26.80,25.95,832080.00
01/10/2018,26.80,DRC,27.55,27.60,26.80,381840.00
28/09/2018,27.50,DRC,27.75,27.80,27.50,282130.00
27/09/2018,27.75,DRC,27.70,28.10,27.70,221460.00
26/09/2018,27.75,DRC,27.20,27.80,27.10,584860.00
25/09/2018,27.20,DRC,27.20,27.65,27.10,228940.00
24/09/2018,27.20,DRC,27.40,27.60,27.10,201900.00
21/09/2018,27.40,DRC,27.40,27.70,27.20,380390.00
20/09/2018,27.60,DRC,27.50,27.60,27.20,275380.00
19/09/2018,27.50,DRC,27.90,28.30,27.30,493340.00
18/09/2018,27.90,DRC,27.80,27.90,27.30,189140.00
17/09/2018,27.80,DRC,27.30,28.20,27.20,380260.00
14/09/2018,27.20,DRC,26.70,27.20,26.25,377400.00
13/09/2018,26.65,DRC,26.70,27.00,26.65,177450.00
12/09/2018,26.75,DRC,27.10,27.30,26.70,337240.00
11/09/2018,27.10,DRC,26.80,27.40,26.60,376500.00
10/09/2018,26.85,DRC,26.65,27.50,26.65,249170.00
07/09/2018,26.90,DRC,25.90,27.00,25.85,369420.00
06/09/2018,25.90,DRC,26.10,26.20,25.80,189850.00
05/09/2018,26.10,DRC,25.90,26.70,25.75,187630.00
04/09/2018,25.90,DRC,25.60,26.20,25.60,161970.00
31/08/2018,25.70,DRC,26.40,26.65,25.70,381350.00
30/08/2018,26.70,DRC,26.20,26.90,26.20,215850.00
29/08/2018,26.30,DRC,26.70,27.15,26.30,269350.00
28/08/2018,26.70,DRC,27.05,27.40,26.70,308600.00
27/08/2018,27.50,DRC,26.80,27.80,26.65,481860.00
24/08/2018,26.85,DRC,26.95,27.50,26.70,382750.00
23/08/2018,27.40,DRC,25.70,27.45,25.50,766550.00
22/08/2018,25.70,DRC,26.30,26.35,25.70,382190.00
21/08/2018,25.85,DRC,24.20,25.85,24.00,1076740.00
20/08/2018,24.20,DRC,24.50,24.50,23.90,140310.00
17/08/2018,24.20,DRC,24.60,24.60,24.20,287840.00
16/08/2018,24.45,DRC,23.70,24.65,23.40,470570.00
15/08/2018,23.85,DRC,23.50,24.00,23.40,277950.00
14/08/2018,23.85,DRC,23.00,23.90,23.00,188710.00
13/08/2018,23.00,DRC,23.00,23.40,22.80,173800.00
10/08/2018,23.00,DRC,23.45,23.45,23.00,112410.00
09/08/2018,23.45,DRC,23.30,23.70,23.25,257700.00
08/08/2018,23.45,DRC,23.45,23.50,23.20,137940.00
07/08/2018,23.45,DRC,24.15,24.15,23.30,198060.00
06/08/2018,23.90,DRC,24.10,24.10,23.60,52520.00
03/08/2018,23.90,DRC,23.80,24.40,23.80,167110.00
02/08/2018,23.80,DRC,24.35,24.35,23.60,76700.00
01/08/2018,23.90,DRC,24.20,24.40,23.80,204920.00
31/07/2018,24.55,DRC,24.30,24.65,24.30,127260.00
30/07/2018,24.60,DRC,24.00,24.90,24.00,175140.00
27/07/2018,24.00,DRC,23.40,24.60,23.10,368590.00
26/07/2018,23.40,DRC,22.70,23.40,22.70,106670.00
25/07/2018,22.80,DRC,23.10,23.10,22.65,76890.00
24/07/2018,22.90,DRC,23.50,23.50,22.30,182800.00
23/07/2018,23.70,DRC,24.30,24.30,23.70,202560.00
20/07/2018,24.30,DRC,24.30,24.50,23.95,342130.00
19/07/2018,24.70,DRC,24.80,25.00,24.30,468390.00
18/07/2018,24.50,DRC,23.75,24.50,23.75,757860.00
17/07/2018,23.70,DRC,23.40,23.80,23.00,516120.00
16/07/2018,23.40,DRC,22.60,23.80,22.00,231210.00
13/07/2018,22.45,DRC,22.20,22.55,22.20,76340.00
12/07/2018,22.20,DRC,21.80,22.70,21.50,153500.00
11/07/2018,21.75,DRC,22.00,22.00,21.35,108450.00
10/07/2018,22.00,DRC,21.70,22.20,21.60,180940.00
09/07/2018,21.70,DRC,22.70,22.70,21.40,323330.00
06/07/2018,22.30,DRC,21.70,22.80,21.70,412280.00
05/07/2018,22.20,DRC,22.20,22.50,21.55,209660.00
04/07/2018,22.30,DRC,22.85,22.90,22.20,315470.00
03/07/2018,22.30,DRC,23.30,23.40,22.00,461570.00
02/07/2018,23.30,DRC,23.60,23.60,22.50,231320.00
29/06/2018,23.60,DRC,23.75,24.10,23.50,93480.00
28/06/2018,23.90,DRC,24.00,24.00,23.65,95340.00
27/06/2018,24.00,DRC,24.35,24.60,24.00,553000.00
26/06/2018,24.35,DRC,23.00,24.95,23.00,413270.00
25/06/2018,23.35,DRC,23.00,23.40,23.00,208960.00
22/06/2018,23.30,DRC,23.10,23.75,22.90,539390.00
21/06/2018,23.10,DRC,23.50,23.70,23.00,156480.00
20/06/2018,23.80,DRC,23.70,23.90,23.30,268160.00
19/06/2018,23.70,DRC,23.00,23.90,22.60,341350.00
18/06/2018,23.00,DRC,24.00,24.00,22.50,584130.00
15/06/2018,23.80,DRC,23.80,24.05,23.30,377870.00
14/06/2018,23.80,DRC,23.95,24.40,23.70,328560.00
13/06/2018,23.90,DRC,22.45,24.00,22.45,580830.00
12/06/2018,22.45,DRC,22.60,22.90,21.75,613360.00
11/06/2018,23.00,DRC,23.10,23.20,22.50,692260.00
08/06/2018,23.20,DRC,23.20,23.30,22.80,325840.00
07/06/2018,23.50,DRC,22.60,23.50,22.50,639680.00
06/06/2018,22.40,DRC,21.55,22.40,21.30,434580.00
05/06/2018,21.40,DRC,21.15,21.60,21.10,467000.00
04/06/2018,21.15,DRC,20.90,21.20,20.60,768100.00
01/06/2018,20.60,DRC,20.90,20.90,20.10,572190.00
31/05/2018,21.00,DRC,20.05,21.10,20.05,544480.00
30/05/2018,20.30,DRC,20.75,20.75,20.10,168610.00
29/05/2018,20.75,DRC,19.70,20.75,19.70,281050.00
28/05/2018,19.70,DRC,19.15,19.70,18.85,409340.00
25/05/2018,19.90,DRC,20.20,21.00,19.50,604970.00
24/05/2018,20.20,DRC,21.50,21.50,20.20,408370.00
23/05/2018,21.30,DRC,19.95,21.30,19.70,361380.00
22/05/2018,19.95,DRC,20.00,20.50,19.95,405420.00
21/05/2018,20.00,DRC,20.25,20.90,19.90,1103560.00
18/05/2018,20.00,DRC,21.50,21.50,19.90,470130.00
17/05/2018,21.00,DRC,21.80,21.85,20.90,484230.00
16/05/2018,21.95,DRC,22.30,22.60,21.80,362190.00
15/05/2018,22.30,DRC,22.50,22.90,22.15,426540.00
14/05/2018,22.50,DRC,22.50,22.90,22.00,104250.00
11/05/2018,22.50,DRC,22.10,22.70,21.95,258570.00
10/05/2018,22.50,DRC,22.30,22.80,22.25,555120.00
09/05/2018,23.30,DRC,23.30,23.40,23.00,103060.00
08/05/2018,23.35,DRC,23.20,23.75,23.20,108910.00
07/05/2018,23.60,DRC,22.85,23.60,22.50,392290.00
04/05/2018,22.60,DRC,23.80,23.80,22.60,346090.00
03/05/2018,23.10,DRC,22.70,23.50,21.90,431210.00
02/05/2018,22.75,DRC,24.40,24.40,22.75,400120.00
27/04/2018,24.40,DRC,23.00,24.40,23.00,414990.00
26/04/2018,22.95,DRC,24.65,24.65,22.60,451550.00
24/04/2018,24.30,DRC,24.05,24.70,24.00,342830.00
23/04/2018,24.30,DRC,25.50,25.80,24.30,403150.00
20/04/2018,25.50,DRC,25.00,25.85,24.50,581740.00
