DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
08/07/2019,7.87,HAS,7.94,7.94,7.87,110.00
05/07/2019,7.95,HAS,7.97,7.97,7.95,30.00
04/07/2019,7.50,HAS,8.20,8.20,7.50,130.00
03/07/2019,7.99,HAS,8.00,8.00,7.99,100.00
02/07/2019,7.97,HAS,8.27,8.27,7.44,22640.00
01/07/2019,8.00,HAS,8.40,8.40,8.00,320.00
28/06/2019,8.00,HAS,8.30,8.30,8.00,30.00
27/06/2019,7.95,HAS,7.90,7.95,7.32,6810.00
26/06/2019,7.55,HAS,7.51,8.30,7.51,320.00
25/06/2019,8.00,HAS,8.00,8.00,8.00,0.00
24/06/2019,8.00,HAS,8.50,8.50,8.00,6050.00
21/06/2019,8.39,HAS,8.00,8.39,8.00,2130.00
20/06/2019,8.00,HAS,8.10,8.30,8.00,4320.00
19/06/2019,7.79,HAS,7.79,7.79,7.79,20.00
18/06/2019,7.51,HAS,7.99,7.99,7.44,120.00
17/06/2019,8.00,HAS,8.00,8.00,8.00,20.00
14/06/2019,7.98,HAS,7.98,7.98,7.98,0.00
13/06/2019,7.98,HAS,7.98,7.98,7.98,20.00
12/06/2019,8.00,HAS,8.00,8.00,8.00,0.00
11/06/2019,8.00,HAS,8.00,8.00,8.00,20.00
10/06/2019,7.90,HAS,8.00,8.76,7.90,1710.00
07/06/2019,8.29,HAS,8.29,8.29,8.29,0.00
06/06/2019,8.89,HAS,9.52,9.52,8.89,18570.00
05/06/2019,8.90,HAS,8.90,8.90,8.90,10.00
04/06/2019,8.87,HAS,8.25,8.87,8.25,510.00
03/06/2019,8.87,HAS,8.87,8.87,8.87,20.00
31/05/2019,8.88,HAS,8.28,8.88,8.28,31460.00
30/05/2019,8.90,HAS,8.90,8.90,8.90,50.00
29/05/2019,8.94,HAS,8.94,8.94,8.94,10.00
28/05/2019,8.96,HAS,8.96,8.96,8.96,10.00
27/05/2019,9.00,HAS,9.00,9.04,9.00,80.00
24/05/2019,8.95,HAS,8.95,8.95,8.95,10.00
23/05/2019,8.98,HAS,8.98,9.30,8.98,2030.00
22/05/2019,8.98,HAS,8.30,8.98,8.30,520.00
21/05/2019,8.74,HAS,8.77,8.77,8.74,60.00
20/05/2019,8.79,HAS,8.88,8.88,8.79,30.00
17/05/2019,8.78,HAS,8.30,8.78,8.30,29910.00
16/05/2019,8.30,HAS,9.09,9.09,8.30,3610.00
15/05/2019,8.86,HAS,8.31,8.86,8.31,1010.00
14/05/2019,8.88,HAS,8.90,8.90,8.88,1020.00
13/05/2019,8.95,HAS,8.99,8.99,8.95,240.00
10/05/2019,8.97,HAS,8.97,8.97,8.97,20.00
09/05/2019,9.10,HAS,9.10,9.10,9.10,20.00
08/05/2019,9.23,HAS,8.50,9.23,8.50,320.00
07/05/2019,8.99,HAS,9.09,9.09,8.99,40.00
06/05/2019,9.24,HAS,8.37,9.24,8.37,27500.00
03/05/2019,8.99,HAS,8.99,8.99,8.99,10.00
02/05/2019,8.61,HAS,8.60,8.61,8.59,6910.00
26/04/2019,9.23,HAS,9.23,9.23,9.23,0.00
25/04/2019,9.23,HAS,9.23,9.23,9.23,0.00
24/04/2019,9.23,HAS,9.28,9.28,9.00,28520.00
23/04/2019,8.70,HAS,9.80,9.80,8.70,470.00
22/04/2019,9.29,HAS,9.39,9.39,9.29,60.00
19/04/2019,9.40,HAS,9.42,9.43,8.42,28040.00
18/04/2019,8.83,HAS,9.88,9.88,8.83,600.00
17/04/2019,9.49,HAS,10.50,10.50,9.21,170.00
16/04/2019,9.90,HAS,10.35,10.35,9.90,220.00
12/04/2019,9.69,HAS,9.02,9.90,9.02,2050.00
11/04/2019,9.69,HAS,9.03,9.69,9.03,210.00
10/04/2019,9.70,HAS,9.70,9.70,9.70,20.00
09/04/2019,9.80,HAS,9.80,9.80,9.80,0.00
08/04/2019,9.80,HAS,9.80,9.80,9.80,100.00
05/04/2019,9.80,HAS,9.80,9.80,9.80,20.00
04/04/2019,9.90,HAS,9.90,9.90,9.90,0.00
03/04/2019,9.90,HAS,9.90,9.90,9.90,0.00
02/04/2019,9.90,HAS,9.65,9.90,9.65,3000.00
01/04/2019,9.70,HAS,9.70,9.70,9.70,20.00
29/03/2019,9.90,HAS,9.90,9.90,9.90,2000.00
28/03/2019,9.50,HAS,9.50,9.50,9.50,0.00
27/03/2019,9.50,HAS,9.50,9.50,9.50,0.00
26/03/2019,9.50,HAS,9.50,9.50,9.50,0.00
25/03/2019,9.50,HAS,9.60,9.60,9.50,30.00
22/03/2019,9.65,HAS,9.80,9.80,9.65,1020.00
21/03/2019,9.70,HAS,9.78,9.78,9.70,40.00
20/03/2019,9.79,HAS,9.99,9.99,9.79,25030.00
19/03/2019,9.50,HAS,9.30,9.50,9.30,30.00
18/03/2019,9.35,HAS,9.35,9.35,9.35,10.00
15/03/2019,8.80,HAS,8.60,9.40,8.56,26660.00
14/03/2019,9.20,HAS,9.20,9.20,9.20,100.00
13/03/2019,9.30,HAS,9.30,9.30,9.30,200.00
12/03/2019,9.40,HAS,9.19,9.50,9.19,38980.00
11/03/2019,9.20,HAS,8.55,9.20,8.55,2610.00
08/03/2019,9.00,HAS,9.00,9.00,9.00,10.00
07/03/2019,9.19,HAS,9.39,9.39,9.19,30.00
06/03/2019,9.17,HAS,9.17,9.17,9.17,0.00
05/03/2019,9.17,HAS,9.17,9.17,9.17,100.00
04/03/2019,9.16,HAS,8.55,9.29,8.55,140.00
01/03/2019,9.19,HAS,9.44,9.44,9.19,90.00
28/02/2019,9.13,HAS,9.13,9.13,9.13,50.00
27/02/2019,9.19,HAS,9.50,9.50,9.10,410.00
26/02/2019,9.28,HAS,9.70,9.70,9.28,20.00
25/02/2019,9.20,HAS,8.60,9.20,8.60,1010.00
22/02/2019,8.60,HAS,9.30,9.30,8.60,30.00
21/02/2019,8.70,HAS,9.27,9.27,8.70,20.00
20/02/2019,8.70,HAS,8.40,9.09,8.40,10860.00
19/02/2019,8.50,HAS,9.46,9.47,8.50,28530.00
18/02/2019,8.95,HAS,8.90,8.95,8.84,820.00
15/02/2019,8.84,HAS,8.91,8.91,8.84,13300.00
14/02/2019,9.50,HAS,9.10,9.50,9.10,300.00
13/02/2019,8.90,HAS,8.90,9.50,8.28,29200.00
12/02/2019,8.90,HAS,9.12,9.12,8.90,600.00
11/02/2019,9.12,HAS,9.60,9.60,9.12,2940.00
01/02/2019,9.80,HAS,10.00,10.00,9.80,20.00
31/01/2019,9.43,HAS,9.43,9.43,9.43,10.00
30/01/2019,9.44,HAS,8.99,9.83,8.99,26140.00
29/01/2019,9.19,HAS,9.19,9.19,9.19,0.00
28/01/2019,9.19,HAS,9.19,9.19,9.19,20.00
25/01/2019,9.33,HAS,8.41,9.33,8.41,25010.00
24/01/2019,8.90,HAS,8.99,8.99,8.90,340.00
23/01/2019,9.04,HAS,9.20,9.20,9.04,170.00
22/01/2019,8.75,HAS,9.50,9.80,8.66,30950.00
21/01/2019,9.30,HAS,8.46,9.39,8.46,6410.00
18/01/2019,9.05,HAS,9.05,9.05,9.05,130.00
17/01/2019,9.70,HAS,8.70,9.70,8.70,90.00
16/01/2019,9.29,HAS,8.56,9.50,8.56,31730.00
15/01/2019,9.20,HAS,9.20,9.20,9.20,500.00
14/01/2019,9.73,HAS,8.47,9.73,8.47,20.00
11/01/2019,9.10,HAS,9.09,10.00,9.09,1070.00
10/01/2019,9.77,HAS,9.77,9.77,9.77,70.00
09/01/2019,10.50,HAS,10.50,10.50,10.50,100.00
08/01/2019,10.50,HAS,10.50,10.50,9.20,1020.00
07/01/2019,9.86,HAS,9.86,9.86,9.86,0.00
04/01/2019,9.86,HAS,9.86,9.86,9.86,1000.00
03/01/2019,10.60,HAS,10.60,10.60,10.60,10.00
02/01/2019,10.00,HAS,10.00,10.00,10.00,0.00
28/12/2018,10.00,HAS,10.00,10.00,10.00,950.00
27/12/2018,9.90,HAS,8.93,9.90,8.93,820.00
26/12/2018,9.60,HAS,8.50,9.60,8.50,1010.00
25/12/2018,9.09,HAS,8.60,9.09,8.60,130.00
24/12/2018,8.60,HAS,9.14,9.14,8.60,1100.00
21/12/2018,8.56,HAS,8.56,8.56,8.56,0.00
20/12/2018,8.56,HAS,8.70,8.70,8.56,7600.00
19/12/2018,9.20,HAS,9.20,9.20,9.20,100.00
18/12/2018,9.30,HAS,9.30,9.30,9.30,0.00
17/12/2018,9.30,HAS,9.30,9.30,9.30,0.00
14/12/2018,9.30,HAS,9.29,9.30,9.29,3100.00
13/12/2018,8.70,HAS,9.89,9.89,8.70,3300.00
12/12/2018,9.25,HAS,9.25,9.25,9.25,0.00
11/12/2018,9.25,HAS,9.25,9.25,9.25,3340.00
10/12/2018,9.90,HAS,9.90,9.90,9.90,1070.00
07/12/2018,10.60,HAS,10.00,10.60,10.00,120.00
06/12/2018,10.00,HAS,10.00,11.00,10.00,1740.00
05/12/2018,10.45,HAS,9.60,10.45,9.60,23330.00
04/12/2018,9.80,HAS,9.88,9.90,9.20,35270.00
03/12/2018,9.38,HAS,9.30,9.38,8.80,7130.00
30/11/2018,8.77,HAS,8.60,8.77,8.60,300.00
29/11/2018,8.20,HAS,8.50,8.91,7.82,17500.00
28/11/2018,8.40,HAS,9.40,9.40,8.40,19010.00
27/11/2018,8.90,HAS,8.90,8.90,8.90,12000.00
26/11/2018,8.77,HAS,8.77,8.77,8.77,0.00
23/11/2018,8.77,HAS,8.77,8.77,8.77,0.00
22/11/2018,8.77,HAS,8.77,8.77,8.77,10.00
21/11/2018,8.20,HAS,8.20,8.20,8.20,400.00
20/11/2018,8.50,HAS,8.50,8.50,8.50,2160.00
19/11/2018,8.90,HAS,8.90,8.90,8.90,0.00
16/11/2018,8.90,HAS,8.90,8.90,8.90,7000.00
15/11/2018,8.90,HAS,8.90,8.90,8.90,3000.00
14/11/2018,9.00,HAS,9.00,9.00,9.00,70.00
13/11/2018,9.00,HAS,9.00,9.00,9.00,11650.00
12/11/2018,8.80,HAS,8.80,8.80,8.80,0.00
09/11/2018,8.80,HAS,8.80,8.80,8.80,1900.00
08/11/2018,9.00,HAS,9.00,9.00,9.00,0.00
07/11/2018,9.00,HAS,9.00,9.00,9.00,0.00
06/11/2018,9.00,HAS,8.65,9.00,8.65,28600.00
05/11/2018,8.65,HAS,8.60,8.65,8.60,4650.00
02/11/2018,8.60,HAS,8.60,8.60,8.60,0.00
01/11/2018,8.60,HAS,8.05,8.60,7.55,17200.00
31/10/2018,8.05,HAS,8.05,8.05,8.05,400.00
30/10/2018,8.56,HAS,8.56,8.56,8.56,0.00
29/10/2018,8.56,HAS,8.56,8.56,8.56,0.00
26/10/2018,8.56,HAS,8.56,8.56,8.56,0.00
25/10/2018,8.56,HAS,8.50,8.56,8.00,26120.00
24/10/2018,8.00,HAS,8.25,8.25,8.00,30.00
23/10/2018,8.00,HAS,8.56,8.56,7.97,7630.00
22/10/2018,8.56,HAS,7.50,8.56,7.50,4950.00
19/10/2018,8.00,HAS,9.00,9.00,8.00,400.00
18/10/2018,8.50,HAS,7.88,8.50,7.88,46240.00
17/10/2018,8.47,HAS,9.20,9.20,8.47,370.00
16/10/2018,9.10,HAS,8.56,9.10,8.56,60.00
15/10/2018,9.20,HAS,9.20,9.20,9.20,10.00
12/10/2018,8.90,HAS,8.90,8.90,8.90,0.00
11/10/2018,8.90,HAS,8.19,8.90,8.19,2120.00
10/10/2018,8.80,HAS,8.80,8.80,8.80,0.00
09/10/2018,8.80,HAS,8.80,8.80,8.80,2000.00
08/10/2018,9.00,HAS,8.90,9.25,8.90,15320.00
05/10/2018,9.25,HAS,8.70,9.25,8.70,6000.00
04/10/2018,8.70,HAS,9.39,9.39,8.70,5520.00
03/10/2018,9.10,HAS,9.50,9.50,9.10,2270.00
02/10/2018,9.00,HAS,8.50,9.00,8.50,17330.00
01/10/2018,8.60,HAS,9.50,9.60,8.60,20940.00
28/09/2018,9.13,HAS,8.70,9.13,8.70,18790.00
27/09/2018,8.54,HAS,8.54,8.54,7.90,11700.00
26/09/2018,7.99,HAS,7.70,7.99,7.70,13160.00
25/09/2018,7.47,HAS,7.40,7.47,7.30,3060.00
24/09/2018,7.42,HAS,7.42,7.42,7.42,50.00
21/09/2018,7.80,HAS,7.80,7.80,7.80,300.00
20/09/2018,7.32,HAS,7.32,7.32,7.32,0.00
19/09/2018,7.32,HAS,8.20,8.20,7.32,1010.00
18/09/2018,7.80,HAS,7.80,7.80,7.80,10.00
17/09/2018,7.80,HAS,7.80,7.80,7.80,20.00
14/09/2018,7.35,HAS,7.51,7.51,7.35,200.00
13/09/2018,7.02,HAS,7.02,7.02,7.02,10.00
12/09/2018,7.30,HAS,7.30,7.30,7.30,10.00
11/09/2018,7.25,HAS,7.15,7.87,7.15,90.00
10/09/2018,7.36,HAS,7.36,7.36,7.36,20.00
07/09/2018,7.91,HAS,7.91,7.91,7.91,1000.00
06/09/2018,7.56,HAS,7.56,7.56,7.56,1950.00
05/09/2018,7.07,HAS,7.20,7.20,7.07,2000.00
04/09/2018,7.60,HAS,8.00,8.20,7.60,1080.00
31/08/2018,8.00,HAS,7.60,8.00,7.60,470.00
30/08/2018,7.70,HAS,7.70,7.70,7.70,1030.00
29/08/2018,7.90,HAS,7.90,7.90,7.90,470.00
28/08/2018,8.10,HAS,8.40,8.40,7.80,60.00
27/08/2018,7.90,HAS,8.20,8.20,7.90,120.00
24/08/2018,8.20,HAS,7.85,8.25,7.85,880.00
23/08/2018,8.29,HAS,8.29,8.29,8.29,0.00
22/08/2018,8.29,HAS,8.29,8.29,8.29,50.00
21/08/2018,8.34,HAS,8.50,8.50,8.34,20.00
20/08/2018,8.35,HAS,8.35,8.35,8.35,20.00
17/08/2018,8.35,HAS,8.80,8.80,8.35,20.00
16/08/2018,8.25,HAS,8.30,8.30,8.25,30.00
15/08/2018,7.85,HAS,7.85,7.85,7.85,100.00
14/08/2018,7.85,HAS,8.35,8.35,7.85,80.00
13/08/2018,8.35,HAS,8.40,8.40,8.35,40.00
10/08/2018,8.50,HAS,8.58,8.58,8.50,3220.00
09/08/2018,8.02,HAS,8.02,8.02,8.00,5100.00
08/08/2018,7.50,HAS,8.20,8.20,7.50,150.00
07/08/2018,7.75,HAS,7.75,7.75,7.75,0.00
06/08/2018,7.75,HAS,7.75,7.75,7.75,0.00
03/08/2018,7.75,HAS,7.75,7.80,7.75,1540.00
02/08/2018,7.80,HAS,7.80,7.80,7.80,2200.00
01/08/2018,8.25,HAS,7.80,8.25,7.80,720.00
31/07/2018,8.30,HAS,8.30,8.30,8.30,0.00
30/07/2018,8.30,HAS,7.80,8.30,7.80,1200.00
27/07/2018,8.30,HAS,8.30,8.30,8.30,0.00
26/07/2018,8.30,HAS,8.30,8.30,8.30,20.00
25/07/2018,8.34,HAS,8.34,8.34,8.34,20.00
24/07/2018,8.35,HAS,7.90,8.35,7.90,2510.00
23/07/2018,7.90,HAS,7.90,7.90,7.90,180.00
20/07/2018,7.90,HAS,7.90,7.90,7.90,0.00
19/07/2018,7.90,HAS,7.90,7.90,7.90,960.00
18/07/2018,8.03,HAS,8.03,8.03,8.03,20.00
17/07/2018,8.03,HAS,7.90,8.03,7.90,25670.00
16/07/2018,7.51,HAS,7.51,7.51,7.51,0.00
13/07/2018,7.51,HAS,7.45,7.51,7.45,3000.00
12/07/2018,7.02,HAS,7.02,7.02,7.02,0.00
11/07/2018,7.02,HAS,7.02,7.02,7.02,0.00
10/07/2018,7.02,HAS,7.02,7.02,7.02,0.00
09/07/2018,7.02,HAS,7.00,7.02,7.00,5660.00
06/07/2018,6.60,HAS,7.00,7.00,6.60,510.00
05/07/2018,6.75,HAS,6.75,6.75,6.75,0.00
04/07/2018,6.75,HAS,6.75,6.75,6.75,10.00
03/07/2018,7.10,HAS,7.16,7.16,7.10,30.00
02/07/2018,6.70,HAS,6.72,6.72,6.70,4000.00
29/06/2018,6.73,HAS,7.20,7.20,6.73,40.00
28/06/2018,6.80,HAS,6.90,6.90,6.80,3000.00
27/06/2018,6.90,HAS,6.90,6.90,6.90,1000.00
26/06/2018,7.00,HAS,7.10,7.10,7.00,2150.00
25/06/2018,7.10,HAS,7.10,7.10,7.10,2070.00
22/06/2018,7.40,HAS,7.40,7.40,7.40,0.00
21/06/2018,7.40,HAS,7.40,7.40,7.40,500.00
20/06/2018,7.30,HAS,6.70,7.30,6.70,1500.00
19/06/2018,7.00,HAS,7.20,7.20,7.00,50.00
18/06/2018,7.20,HAS,6.84,7.20,6.84,1510.00
15/06/2018,7.35,HAS,7.35,7.35,7.35,20.00
14/06/2018,7.50,HAS,7.50,7.50,7.50,1000.00
13/06/2018,7.85,HAS,8.00,8.10,7.85,1230.00
12/06/2018,7.90,HAS,8.10,8.10,7.90,40.00
11/06/2018,8.10,HAS,8.10,8.10,8.10,3330.00
08/06/2018,8.25,HAS,8.40,8.40,7.75,230.00
07/06/2018,8.00,HAS,8.59,8.59,7.75,1100.00
06/06/2018,8.25,HAS,8.47,8.47,8.10,160.00
05/06/2018,8.20,HAS,8.80,8.80,8.20,1580.00
04/06/2018,8.45,HAS,8.35,8.93,8.20,18380.00
01/06/2018,8.35,HAS,8.35,8.35,7.75,3420.00
31/05/2018,8.01,HAS,7.95,8.01,7.90,5350.00
30/05/2018,7.49,HAS,7.10,7.49,7.10,2730.00
29/05/2018,7.00,HAS,8.00,8.00,7.00,2220.00
28/05/2018,7.50,HAS,8.00,8.00,7.50,600.00
25/05/2018,7.71,HAS,7.71,7.71,7.71,200.00
24/05/2018,8.15,HAS,8.15,8.15,8.15,50.00
23/05/2018,8.19,HAS,7.70,8.19,7.70,100.00
22/05/2018,8.19,HAS,8.20,8.20,8.19,60.00
21/05/2018,7.90,HAS,8.30,8.30,7.90,430.00
18/05/2018,8.30,HAS,8.30,8.30,8.30,770.00
17/05/2018,8.30,HAS,8.50,8.50,8.30,390.00
16/05/2018,8.40,HAS,8.55,8.55,8.40,1380.00
15/05/2018,8.40,HAS,8.50,8.75,7.75,36940.00
14/05/2018,8.20,HAS,8.45,8.45,8.20,20.00
11/05/2018,8.20,HAS,8.14,8.20,7.58,220.00
10/05/2018,8.14,HAS,8.09,8.15,8.09,440.00
09/05/2018,8.10,HAS,7.60,8.10,7.60,110.00
08/05/2018,8.12,HAS,8.12,8.12,8.12,80.00
07/05/2018,8.13,HAS,8.14,8.14,7.65,480.00
04/05/2018,8.15,HAS,8.17,8.17,8.15,50.00
03/05/2018,8.20,HAS,8.90,8.90,7.80,7110.00
02/05/2018,8.38,HAS,9.30,9.64,8.38,9250.00
27/04/2018,9.01,HAS,9.25,9.25,9.01,80.00
26/04/2018,9.15,HAS,9.35,9.35,8.81,2280.00
24/04/2018,9.29,HAS,9.64,9.64,8.81,730.00
23/04/2018,9.10,HAS,9.20,9.65,9.10,7580.00
20/04/2018,9.70,HAS,9.99,9.99,9.70,80.00
19/04/2018,9.50,HAS,9.60,9.60,9.20,9580.00
18/04/2018,9.60,HAS,10.00,10.00,9.47,260.00
17/04/2018,9.60,HAS,9.20,9.70,9.20,3690.00
16/04/2018,9.70,HAS,9.70,9.70,9.50,3020.00
13/04/2018,9.70,HAS,10.00,10.30,9.50,3120.00
12/04/2018,9.70,HAS,10.00,10.00,9.30,4950.00
11/04/2018,9.70,HAS,9.50,9.80,9.50,120.00
10/04/2018,9.70,HAS,10.00,10.00,9.50,7170.00
09/04/2018,10.00,HAS,10.00,10.00,9.70,5110.00
