DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
16/09/2019,57.50,TAN,57.50,57.50,57.50,0.00
13/09/2019,57.50,TAN,57.50,57.50,57.50,0.00
12/09/2019,57.50,TAN,57.50,57.50,57.50,0.00
11/09/2019,57.50,TAN,57.50,57.50,57.50,0.00
10/09/2019,57.50,TAN,57.50,57.50,57.50,0.00
09/09/2019,57.50,TAN,57.50,57.50,57.50,0.00
06/09/2019,57.50,TAN,57.50,57.50,57.50,0.00
05/09/2019,57.50,TAN,57.50,57.50,57.50,0.00
04/09/2019,57.50,TAN,57.50,57.50,57.50,0.00
03/09/2019,57.50,TAN,57.50,57.50,57.50,0.00
30/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
29/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
28/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
27/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
26/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
23/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
22/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
21/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
20/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
19/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
16/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
15/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
14/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
13/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
12/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
09/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
08/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
07/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
06/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
05/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
02/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
01/08/2019,57.50,TAN,57.50,57.50,57.50,0.00
31/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
30/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
29/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
26/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
25/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
24/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
23/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
22/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
19/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
18/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
17/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
16/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
15/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
12/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
11/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
10/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
09/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
08/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
05/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
04/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
03/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
02/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
01/07/2019,57.50,TAN,57.50,57.50,57.50,0.00
28/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
27/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
26/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
25/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
24/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
21/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
20/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
19/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
18/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
17/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
14/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
13/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
12/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
11/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
10/06/2019,57.50,TAN,57.50,57.50,57.50,0.00
